
15:25:23.260 > 27,0.8484
15:25:23.310 > 77,0.8808
15:25:23.361 > 128,0.8835
15:25:23.412 > 179,0.8886
15:25:23.463 > 230,0.8947
15:25:23.514 > 281,0.8750
15:25:23.565 > 332,0.8830
15:25:23.616 > 383,0.8747
15:25:23.667 > 434,0.8857
15:25:23.718 > 485,0.8750
15:25:23.769 > 536,0.8896
15:25:23.820 > 587,0.9013
15:25:23.871 > 638,0.8833
15:25:23.922 > 689,0.8999
15:25:23.973 > 740,0.8808
15:25:24.024 > 791,0.8852
15:25:24.075 > 842,0.8620
15:25:24.126 > 893,0.8491
15:25:24.177 > 944,0.8476
15:25:24.228 > 995,0.8496
15:25:24.279 > 1046,0.8589
15:25:24.330 > 1097,0.8027
15:25:24.381 > 1148,0.7934
15:25:24.432 > 1199,0.7748
15:25:24.483 > 1250,0.7463
15:25:24.534 > 1301,0.7118
15:25:24.585 > 1352,0.7001
15:25:24.636 > 1403,0.7226
15:25:24.687 > 1454,0.7499
15:25:24.738 > 1505,0.7971
15:25:24.789 > 1556,0.8264
15:25:24.840 > 1607,0.8427
15:25:24.891 > 1658,0.8408
15:25:24.942 > 1709,0.8422
15:25:24.993 > 1760,0.8347
15:25:25.044 > 1811,0.8278
15:25:25.095 > 1862,0.8462
15:25:25.146 > 1913,0.8442
15:25:25.197 > 1964,0.8322
15:25:25.248 > 2015,0.8181
15:25:25.299 > 2066,0.7690
15:25:25.350 > 2117,0.6090
15:25:25.401 > 2168,0.2088
15:25:25.452 > 2219,0.0164
15:25:25.503 > 2270,0.0093
15:25:25.554 > 2321,0.4259
15:25:25.605 > 2372,0.7319
15:25:25.656 > 2423,0.8100
15:25:25.707 > 2474,0.8400
15:25:25.758 > 2525,0.8400
15:25:25.809 > 2576,0.8330
15:25:25.860 > 2627,0.8361
15:25:25.911 > 2678,0.8335
15:25:25.962 > 2729,0.8369
15:25:26.013 > 2780,0.8396
15:25:26.064 > 2831,0.8432
15:25:26.115 > 2882,0.8310
15:25:26.166 > 2933,0.7631
15:25:26.217 > 2984,0.4422
15:25:26.268 > 3035,0.0000
15:25:26.319 > 3086,0.0015
15:25:26.370 > 3137,0.0147
15:25:26.421 > 3188,0.5780
15:25:26.472 > 3239,0.7956
15:25:26.523 > 3290,0.8335
15:25:26.574 > 3341,0.8418
15:25:26.625 > 3392,0.8408
15:25:26.676 > 3443,0.8403
15:25:26.727 > 3494,0.8400
15:25:26.778 > 3545,0.8427
15:25:26.829 > 3596,0.8400
15:25:26.880 > 3647,0.8513
15:25:26.931 > 3698,0.8447
15:25:26.982 > 3749,0.8166
15:25:27.033 > 3800,0.7519
15:25:27.084 > 3851,0.5639
15:25:27.135 > 3902,0.0430
15:25:27.186 > 3953,0.0159
15:25:27.237 > 4004,0.0171
15:25:27.288 > 4055,0.3873
15:25:27.339 > 4106,0.6930
15:25:27.390 > 4157,0.7707
15:25:27.441 > 4208,0.8010
15:25:27.492 > 4259,0.8063
15:25:27.543 > 4310,0.7814
15:25:27.594 > 4361,0.6972
15:25:27.645 > 4412,0.4603
15:25:27.696 > 4463,0.0469
15:25:27.747 > 4514,0.0144
15:25:27.798 > 4565,0.2537
15:25:27.849 > 4616,0.5973
15:25:27.900 > 4667,0.7375
15:25:27.951 > 4718,0.7748
15:25:28.002 > 4769,0.7880
15:25:28.053 > 4820,0.7773
15:25:28.104 > 4871,0.6916
15:25:28.155 > 4922,0.4420
15:25:28.206 > 4973,0.0049
15:25:28.257 > 5024,0.0010
15:25:28.308 > 5075,0.0000
15:25:28.359 > 5126,0.2625
15:25:28.410 > 5177,0.6525
15:25:28.461 > 5228,0.7729
15:25:28.512 > 5279,0.7944
15:25:28.563 > 5330,0.8139
15:25:28.614 > 5381,0.8093
15:25:28.665 > 5432,0.8125
15:25:28.716 > 5483,0.7385
15:25:28.767 > 5534,0.6095
15:25:28.818 > 5585,0.2208
15:25:28.869 > 5636,0.0076
15:25:28.920 > 5687,0.0024
15:25:28.971 > 5738,0.0000
15:25:29.022 > 5789,0.0078
15:25:29.073 > 5840,0.4310
15:25:29.124 > 5891,0.6842
15:25:29.175 > 5942,0.7656
15:25:29.226 > 5993,0.7946
15:25:29.277 > 6044,0.8205
15:25:29.328 > 6095,0.8164
15:25:29.379 > 6146,0.8171
15:25:29.430 > 6197,0.7714
15:25:29.481 > 6248,0.6698
15:25:29.532 > 6299,0.3363
15:25:29.583 > 6350,0.0117
15:25:29.634 > 6401,0.0034
15:25:29.685 > 6452,0.0117
15:25:29.736 > 6503,0.3563
15:25:29.787 > 6554,0.6708
15:25:29.838 > 6605,0.7783
15:25:29.889 > 6656,0.8088
15:25:29.940 > 6707,0.8222
15:25:29.991 > 6758,0.8300
15:25:30.042 > 6809,0.8244
15:25:30.093 > 6860,0.8010
15:25:30.144 > 6911,0.7118
15:25:30.195 > 6962,0.4769
15:25:30.246 > 7013,0.0154
15:25:30.297 > 7064,0.0015
15:25:30.348 > 7115,0.0081
15:25:30.399 > 7166,0.1651
15:25:30.450 > 7217,0.6056
15:25:30.501 > 7268,0.7556
15:25:30.552 > 7319,0.8054
15:25:30.603 > 7370,0.8044
15:25:30.654 > 7421,0.7958
15:25:30.705 > 7472,0.7658
15:25:30.756 > 7523,0.6996
15:25:30.807 > 7574,0.4540
15:25:30.858 > 7625,0.0274
15:25:30.909 > 7676,0.0044
15:25:30.960 > 7727,0.0000
15:25:31.011 > 7778,0.0396
15:25:31.062 > 7829,0.6525
15:25:31.113 > 7880,0.7937
15:25:31.164 > 7931,0.8259
15:25:31.215 > 7982,0.8181
